"","company","model","old","fuel","km","price"
"393","현대","그랜져IG 3.0 LPi 모던",33,"LPG",20000,2150
"394","현대","그랜져HG 220 디젤 프리미엄 컬렉션",57,"디젤",40000,1950
"395","현대","그랜져TG Q270 LPI 개인형",161,"LPG",230000,350
"396","현대","더 럭셔리 그랜져 Q270 LPI ",140,"LPG",280000,290
"397","현대","그랜져TG Q270 LPI 개인형",164,"LPG",230000,190
"398","현대","그랜져HG 300 LPG  프라임",92,"LPG",250000,790
"399","현대","그랜져IG 3.0 GDI  익스클루시브 스페셜",36,"가솔린",60000,2800
"400","현대","그랜져IG 3.0 LPi  모던 베이직",35,"LPG",50000,2150
"402","현대","그랜져IG 하이브리드 2.4 HEV 익스클루시브 스페셜",26,"가솔린+전기",20000,3500
"403","현대","그랜져HG 220 디젤 모던",52,"디젤",80000,1580
"404","현대","그랜져IG 2.4 GDI  프리미엄",29,"가솔린",20000,2289
"405","현대","그랜저 뉴 럭셔리 Q270 럭셔리 스마트팩",141,"가솔린",180000,400
"406","현대","그랜져IG 2.4 GDI 프리미엄 스페셜",24,"가솔린",20000,2850
"408","현대","그랜져HG 240  럭셔리",97,"가솔린",70000,1260
"409","현대","그랜져HG 240 모던",70,"가솔린",50000,1480
"410","현대","그랜져IG 2.4 GDI 프리미엄",34,"가솔린",20000,2300
"411","현대","그랜져TG Q270 럭셔리",170,"가솔린",230000,330
"412","현대","그랜져IG 3.0 GDI  모던 베이직 ",38,"가솔린",50000,2150
"413","현대","그랜져HG 240 모던",60,"가솔린",170000,1200
"414","현대","그랜져HG 240 모던",80,"가솔린",130000,1200
"415","현대","그랜져TG 아제라",109,"가솔린",90000,600
"416","현대","그랜져TG Q270 디럭스",157,"가솔린",120000,300
"417","현대","그랜져HG",99,"LPG",210000,1100
"418","현대","그랜져HG 300 로얄",108,"가솔린",160000,850
"419","현대","그랜져HG 300 프라임",92,"가솔린",110000,820
"420","현대","그랜져HG",84,"가솔린",120000,1200
"421","현대","그랜져HG",44,"가솔린",1e+05,1500
"422","현대","그랜져IG 2.2 e-VGT 프리미엄",34,"디젤",30000,2390
"423","현대","그랜져IG 2.2 e-VGT 모던",38,"디젤",40000,2340
"424","현대","그랜져HG 하이브리드 2.4 HEV  프리미엄 컬렉션",72,"가솔린+전기",120000,1550
"425","현대","그랜져IG 3.0 GDI  익스클루시브 스페셜",28,"가솔린",20000,2890
"426","현대","그랜져TG Q270 LPI 장애인용",158,"LPG",160000,270
"427","현대","그랜져HG",74,"가솔린",50000,1300
"428","현대","그랜져HG 220 디젤 프리미엄",50,"디젤",140000,1499
"429","현대","그랜져HG 300 LPG  택시형",76,"LPG",360000,950
"430","현대","그랜져IG 3.0 GDI  익스클루시브 스페셜",35,"가솔린",40000,2780
"431","현대","그랜져TG Q270  럭셔리",138,"가솔린",210000,240
"432","현대","그랜져HG 300  프리미엄",46,"가솔린",90000,1600
"433","현대","그랜저 뉴 럭셔리 Q270 럭셔리",140,"가솔린",130000,430
"434","현대","그랜져HG 240 럭셔리",90,"가솔린",150000,729
"435","현대","그랜져HG 300 LPG  모던",73,"LPG",160000,950
"436","현대","그랜져IG 3.0 LPi 익스클루시브 스페셜",34,"LPG",50000,2780
"438","현대","그랜져HG 220 디젤 프리미엄",48,"디젤",120000,1230
"439","현대","그랜져IG",26,"가솔린",30000,2550
"440","현대","그랜져TG",166,"LPG",210000,500
"442","현대","그랜져XG",205,"LPG",290000,70
"443","현대","그랜져HG 300 LPG 프라임",92,"LPG",80000,990
"444","현대","그랜져HG 240 모던",96,"가솔린",180000,1350
"445","현대","그랜져HG 하이브리드 2.4 HEV 프리미엄",55,"가솔린+전기",1e+05,1450
"446","현대","그랜져HG 300  프라임",94,"가솔린",120000,790
"447","현대","더 럭셔리 그랜져 Q270  24주년 스페셜에디션 럭셔리I",116,"가솔린",1e+05,630
"448","현대","그랜져TG Q270  기본형",161,"가솔린",130000,280
"449","현대","그랜져TG Q270  럭셔리",167,"가솔린",1e+05,280
"450","현대","그랜져HG 240 럭셔리",109,"가솔린",230000,670
"451","현대","그랜져HG 300 로얄",108,"가솔린",220000,850
"452","현대","그랜져HG 300 프리미엄",64,"가솔린",50000,1695
"453","현대","그랜져TG L330 탑",167,"가솔린",180000,300
"454","현대","그랜져HG 300 LPG 모던",76,"LPG",60000,1490
"463","현대","그랜져HG 300 LPG 모던",72,"LPG",1e+05,1370
